0.5448	0.4964	0.5382	0.4164	0.0001
0.5669	0.5690	0.5636	0.4530	17.1548
0.6648	0.7091	0.6678	0.6078	34.1332
0.7363	0.7547	0.7375	0.7027	51.1113
0.7263	0.7153	0.6926	0.6621	68.2444
0.7213	0.7323	0.6981	0.6571	85.2518
0.7367	0.7324	0.7071	0.6752	102.2414
0.7632	0.7502	0.7276	0.7050	119.4456
0.7932	0.7847	0.7623	0.7491	136.4237
0.7774	0.7608	0.7469	0.7246	153.4611
0.8029	0.7938	0.7708	0.7517	170.6538
0.8136	0.7920	0.7913	0.7778	187.6061
0.7860	0.7797	0.7421	0.7265	204.5628
0.7920	0.8042	0.7398	0.7245	221.7164
0.7930	0.7858	0.7523	0.7337	238.6767
0.8163	0.8114	0.7671	0.7616	255.6664
0.7809	0.7834	0.7468	0.7255	272.6703
0.8117	0.8003	0.7861	0.7686	289.8348
0.7982	0.7743	0.7765	0.7501	306.8177
0.8182	0.8227	0.7785	0.7654	323.8078
0.8110	0.7984	0.7805	0.7681	340.9859
0.8261	0.8022	0.7851	0.7781	358.0191
0.8105	0.8140	0.7840	0.7758	375.0218
0.8421	0.8390	0.8054	0.8001	392.2050
0.8249	0.8251	0.8019	0.7894	409.1708
0.8355	0.8268	0.8154	0.7992	426.1374
0.8520	0.8447	0.8171	0.8114	443.3030
0.8331	0.8258	0.8070	0.7925	460.2619
0.8358	0.8154	0.7989	0.7919	477.2541
0.8462	0.8302	0.8350	0.8232	494.3875
0.8447	0.8222	0.8141	0.8064	511.3523
0.8347	0.8324	0.8091	0.7988	528.3627
0.8393	0.8272	0.8206	0.8097	545.5123
0.8397	0.8295	0.8144	0.8087	562.4675
0.8280	0.8296	0.8025	0.7894	579.4046
0.8183	0.8240	0.7962	0.7807	596.3930
0.8546	0.8559	0.8120	0.8124	613.5636
0.8289	0.8306	0.8142	0.8001	630.5332
0.8374	0.8355	0.8043	0.7934	647.5161
0.8341	0.8310	0.8099	0.7992	664.7061
0.8468	0.8423	0.8185	0.8102	681.6975
0.8621	0.8488	0.8203	0.8147	698.6831
0.8421	0.8339	0.8151	0.8038	715.9195
0.8584	0.8477	0.8384	0.8338	732.8679
0.8584	0.8532	0.8291	0.8234	749.7983
0.8360	0.8425	0.8008	0.7889	766.9857
0.8475	0.8441	0.8179	0.8150	783.9718
0.8541	0.8478	0.8237	0.8171	800.9523
0.8383	0.8370	0.8214	0.8093	818.1373
0.8394	0.8360	0.8202	0.8099	835.1237
0.8341	0.8315	0.8164	0.8055	852.0995
0.8514	0.8443	0.8402	0.8288	869.2453
0.8462	0.8437	0.8248	0.8178	886.1958
0.8527	0.8475	0.8374	0.8289	903.1982
0.8445	0.8470	0.8177	0.8149	920.2546
0.8666	0.8571	0.8518	0.8449	937.4866
0.8575	0.8513	0.8400	0.8337	954.4915
0.8596	0.8508	0.8361	0.8297	971.4788
0.8696	0.8565	0.8615	0.8502	988.6450
0.8619	0.8570	0.8507	0.8406	1005.6141
0.8526	0.8542	0.8326	0.8211	1022.6183
0.8573	0.8515	0.8349	0.8303	1039.8287
0.8646	0.8545	0.8423	0.8404	1057.2523
0.8770	0.8695	0.8495	0.8517	1074.2740
0.8707	0.8673	0.8516	0.8443	1091.4983
0.8626	0.8673	0.8326	0.8303	1108.5242
0.8703	0.8619	0.8467	0.8466	1125.5397
0.8729	0.8635	0.8608	0.8551	1142.6749
0.8623	0.8596	0.8410	0.8356	1159.6557
0.8758	0.8698	0.8531	0.8523	1176.5681
0.8709	0.8606	0.8607	0.8517	1193.7275
0.8763	0.8687	0.8597	0.8555	1210.6761
0.8762	0.8559	0.8586	0.8491	1227.6000
0.8767	0.8700	0.8608	0.8574	1244.6317
0.8771	0.8749	0.8548	0.8543	1261.8037
0.8748	0.8629	0.8598	0.8563	1278.7441
0.8731	0.8684	0.8534	0.8512	1295.7105
0.8778	0.8704	0.8631	0.8574	1312.9022
0.8772	0.8685	0.8618	0.8590	1329.9145
0.8682	0.8752	0.8404	0.8418	1346.9414
0.8878	0.8797	0.8693	0.8701	1364.1019
0.8596	0.8622	0.8392	0.8346	1381.0736
0.8740	0.8723	0.8581	0.8559	1398.0557
0.8799	0.8723	0.8650	0.8613	1415.2301
0.8832	0.8754	0.8709	0.8649	1432.2482
0.8829	0.8785	0.8632	0.8628	1449.3091
0.8816	0.8821	0.8600	0.8615	1466.4982
