Thu Nov  3 16:05:28 2022 SMD K=10
0.8961	0.8938	0.8782	0.8763	1813.6348
0.8902	0.8881	0.8766	0.8733	1830.5377
0.8890	0.8888	0.8700	0.8714	1847.5249
0.8803	0.8840	0.8582	0.8531	1864.5396
0.8734	0.8909	0.8537	0.8499	1881.4084
0.8769	0.8912	0.8515	0.8538	1898.4771
0.8771	0.8865	0.8559	0.8558	1915.5192
0.8755	0.8852	0.8543	0.8506	1932.3636
0.9010	0.9029	0.8815	0.8848	1949.3565
0.8887	0.8922	0.8645	0.8686	1966.3375
0.8820	0.8934	0.8556	0.8615	1983.1548
0.8842	0.8870	0.8632	0.8642	2000.2215
0.8631	0.8791	0.8445	0.8381	2017.2846
0.8676	0.8862	0.8409	0.8409	2034.0760
0.8742	0.8847	0.8438	0.8486	2051.1031
0.8869	0.8955	0.8625	0.8642	2068.0830
0.9008	0.9032	0.8813	0.8845	2084.9445
0.8917	0.8975	0.8682	0.8703	2101.9550
0.8808	0.8885	0.8572	0.8581	2118.9956
0.8853	0.8959	0.8574	0.8627	2135.8550
0.8956	0.8989	0.8709	0.8751	2152.8585
0.8985	0.9040	0.8747	0.8806	2169.8490
0.8975	0.9035	0.8744	0.8774	2186.6763
0.8862	0.8984	0.8615	0.8632	2203.6601
0.8965	0.9043	0.8695	0.8768	2220.6807
0.9008	0.9061	0.8793	0.8834	2237.5129
0.8952	0.9046	0.8733	0.8714	2254.5396
0.8965	0.9098	0.8717	0.8763	2271.5000
0.8961	0.9047	0.8750	0.8775	2288.3440
0.8953	0.9015	0.8716	0.8749	2305.3301
0.9117	0.9149	0.8897	0.8956	2322.2883
0.8830	0.8981	0.8534	0.8556	2339.1935
0.9022	0.9099	0.8754	0.8759	2356.2329
0.9041	0.9120	0.8779	0.8845	2373.3247
0.8926	0.9053	0.8612	0.8667	2390.1562
0.8861	0.8985	0.8600	0.8653	2407.1343
0.8926	0.9034	0.8694	0.8729	2424.1241
0.8938	0.8994	0.8675	0.8721	2440.9230
0.8953	0.9016	0.8684	0.8738	2457.9513
0.8841	0.8957	0.8613	0.8635	2474.9395
0.9040	0.9100	0.8801	0.8835	2491.8685
0.8991	0.9136	0.8680	0.8762	2508.8676
0.8949	0.9062	0.8687	0.8730	2525.8398
0.8923	0.9023	0.8673	0.8706	2542.6874
0.8939	0.9073	0.8625	0.8695	2559.6319
0.8878	0.9043	0.8536	0.8585	2576.5952
0.8974	0.9117	0.8671	0.8735	2593.4344
0.8987	0.9109	0.8717	0.8783	2610.4153
0.9069	0.9170	0.8812	0.8878	2627.3138
0.9023	0.9159	0.8756	0.8811	2644.1470
0.9083	0.9194	0.8810	0.8870	2661.1989
0.8948	0.9128	0.8634	0.8715	2678.1841
0.8965	0.9107	0.8679	0.8748	2694.9504
0.9098	0.9219	0.8809	0.8889	2711.9758
0.9084	0.9222	0.8816	0.8881	2728.9120
0.9006	0.9132	0.8737	0.8802	2745.7195
0.9015	0.9160	0.8711	0.8801	2762.7279
0.8977	0.9152	0.8637	0.8738	2779.7491
0.9012	0.9149	0.8730	0.8802	2796.8706
0.9051	0.9185	0.8774	0.8846	2814.1112
0.9008	0.9148	0.8740	0.8798	2831.1712
0.9067	0.9207	0.8773	0.8861	2848.1043
